title,creator,publication,date,year,doi,eid,scopus_id,citedby_count,subtype,openaccess,abstract,link
Use of an artificial neural network algorithm and cokriging method for reservoir porosity modeling,Stepanov A.,International Multidisciplinary Scientific Geoconference Surveying Geology and Mining Ecology Management Sgem,2019-01-01,2019,10.5593/sgem2019/1.1/S01.084,2-s2.0-85073695582,SCOPUS_ID:85073695582,3,Conference Paper,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073695582&origin=inward
Predicting porosity by using seismic multi-attributes and well data and combining these available data by geostatistical methods in a South Iranian oil field,Jalalalhosseini S.,Petroleum Science and Technology,2014-01-01,2014,10.1080/10916466.2011.584102,2-s2.0-84890045989,SCOPUS_ID:84890045989,19,Article,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890045989&origin=inward
Integrating seismic-derived porosity into a geocellular model - A case study,Mercado G.,12th Abu Dhabi International Petroleum Exhibition and Conference Adipec 2006 Meeting the Increasing Oil and Gas Demand Through Innovation,2006-12-01,2006,,2-s2.0-33847727506,SCOPUS_ID:33847727506,0,Conference Paper,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33847727506&origin=inward
