title,creator,publication,date,year,doi,eid,scopus_id,citedby_count,subtype,openaccess,abstract,link
Seismic attributes via robust and high-resolution seismic complex trace analysis,Kazemnia Kakhki M.,Acta Geophysica,2020-12-01,2020,10.1007/s11600-020-00499-w,2-s2.0-85092907363,SCOPUS_ID:85092907363,6,Article,2,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092907363&origin=inward
Seismic attribute analysis of Chicxulub impact crater,Salguero-Hernández E.,Acta Geophysica,2020-06-01,2020,10.1007/s11600-020-00442-z,2-s2.0-85085291034,SCOPUS_ID:85085291034,9,Article,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085291034&origin=inward
Seismic attribute analysis and geobody visualization: Detection and delineation of high-gamma sand sequences in a steam-affected and merged 3D seismic dataset of a highly heterogeneous reservoir,Mahapatra S.N.,Society of Exploration Geophysicists Seg International Exposition and 76tth Annual Meeting 2006 Seg 2006,2018-01-01,2018,,2-s2.0-85055703896,SCOPUS_ID:85055703896,0,Conference Paper,0,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055703896&origin=inward
